log_fr,log_Mb,habitat,order,family,genus,species,breath_rate,body_mass,sex,activity_level,individual_name,common_name,age,temp,location
0.255,2.215,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,164,F,1,Athenea,Bottlenose Dolphin,29,27.93,Water
0.079,2.215,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,164,F,1,Athenea,Bottlenose Dolphin,29,27.15,Water
0.204,2.215,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,164,F,2,Athenea,Bottlenose Dolphin,29,27.41,Water
0.255,2.215,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,164,M,2,Athos,Bottlenose Dolphin,13,26.98,Water
0.255,2.215,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,164,M,2,Athos,Bottlenose Dolphin,13,27.15,Water
0.204,2.215,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,164,M,2,Athos,Bottlenose Dolphin,13,27.41,Water
0.415,2.277,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,189.1,M,1,Axl,Bottlenose Dolphin,13,26.11111111,Water
0.38,2.277,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,189.1,M,1,Axl,Bottlenose Dolphin,13,26.61111111,Water
0.204,2.281,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,190.9,M,1,Axl,Bottlenose Dolphin,13,26.5,Water
0.505,2.281,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.19889511,190.9,M,1,Axl,Bottlenose Dolphin,13,25.66666667,Water
0.301,2.284,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,192.3,M,1,Axl,Bottlenose Dolphin,13,26.33333333,Water
0.415,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,170,F,2,Azteca,Bottlenose Dolphin,28,26.98,Water
0.301,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,170,F,2,Azteca,Bottlenose Dolphin,28,27.15,Water
0.38,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,170,F,2,Azteca,Bottlenose Dolphin,28,27.41,Water
0.079,2.294,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,197,F,1,Bimini,Bottlenose Dolphin,24,31,Water
0.146,2.294,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,197,F,2,Bimini,Bottlenose Dolphin,24,31,Water
0.255,2.294,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,197,F,2,Bimini,Bottlenose Dolphin,24,30,Water
0.38,2.258,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,181,M,2,Bio,Bottlenose Dolphin,13,19.4,Water
0.556,2.258,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.597493352,181,M,2,Bio,Bottlenose Dolphin,13,19.8,Water
0.415,2.258,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,181,M,2,Bio,Bottlenose Dolphin,13,19.2,Water
0.301,2.258,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,181,M,2,Blue,Bottlenose Dolphin,9,17.5,Water
0.556,2.258,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.597493352,181,M,2,Blue,Bottlenose Dolphin,9,16.8,Water
0.531,2.258,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.396252726,181,M,2,Blue,Bottlenose Dolphin,9,18.5,Water
0.255,2.241,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,174,F,2,Calypso,Bottlenose Dolphin,9,31,Water
0.204,2.241,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,174,F,2,Calypso,Bottlenose Dolphin,9,31,Water
0.146,2.241,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,174,F,2,Calypso,Bottlenose Dolphin,9,30,Water
0.255,2.283,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,192,M,1,Capi,Bottlenose Dolphin,32,29,Water
0.146,2.283,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,192,M,2,Capi,Bottlenose Dolphin,32,29,Water
0,2.283,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,192,M,1,Capi,Bottlenose Dolphin,32,29,Water
0.301,2.121,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,132,M,1,Carlo,Bottlenose Dolphin,14,26.98,Water
0.255,2.121,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,132,M,2,Carlo,Bottlenose Dolphin,14,27.15,Water
0.204,2.121,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,132,M,2,Carlo,Bottlenose Dolphin,14,27.41,Water
0.146,2.176,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,150,M,2,Cayman,Bottlenose Dolphin,12,31,Water
0.146,2.176,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,150,M,2,Cayman,Bottlenose Dolphin,12,31,Water
0.204,2.176,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,150,M,2,Cayman,Bottlenose Dolphin,12,30,Water
0.204,2.412,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,258.5,M,1,Cecil,Bottlenose Dolphin,39,22,Water
0.204,2.412,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,258.5,M,1,Cecil,Bottlenose Dolphin,39,22,Water
0.255,2.414,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,259.5,M,1,Cecil,Bottlenose Dolphin,39,22,Water
0.079,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,254,M,1,Cecil,Bottlenose Dolphin,39,21,Water
0,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,254,M,1,Cecil,Bottlenose Dolphin,39,21,Water
-0.097,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,0.799834255,254,M,1,Cecil,Bottlenose Dolphin,39,21,Water
0.301,2.422,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,264,M,1,Cecil,Bottlenose Dolphin,39,22.4,Water
0.301,2.422,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,264,M,1,Cecil,Bottlenose Dolphin,39,22.4,Water
0.146,2.422,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,264,M,1,Cecil,Bottlenose Dolphin,39,22.4,Water
0.079,2.41,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,257,M,1,Cecil,Bottlenose Dolphin,39,22,Water
0.38,2.41,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,257,M,1,Cecil,Bottlenose Dolphin,39,22,Water
0.204,2.41,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,257,M,1,Cecil,Bottlenose Dolphin,39,22,Water
