common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,fr,order,family,genus,species,habitat,log_Mb,log_fr,breath_rate,temp,location
Northern Fur Seal,Kivli,F,33.5,8,5,1,MysticAquarium,8,33.5,1.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.525,0.204,1.599558029,8.9,water
Northern Fur Seal,Kivli,F,34,12,5,2,MysticAquarium,8,34,2.4,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.531,0.38,2.398832919,2.2,air
Northern Fur Seal,Kivli,F,34,12,5,1,MysticAquarium,8,34,2.4,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.531,0.38,2.398832919,10.2,water
Northern Fur Seal,Kivli,F,34,12,5,1,MysticAquarium,8,34,2.4,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.531,0.38,2.398832919,11.0,water
Northern Fur Seal,Kivli,F,34,16,5,1,MysticAquarium,8,34,3.2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.531,0.505,3.19889511,10.9,water
Northern Fur Seal,Kivli,F,33.5,18,5,1,MysticAquarium,8,33.5,3.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.525,0.556,3.597493352,10.6,water
Northern Fur Seal,Tuk,M,61,13,5,2,MysticAquarium,5,61,2.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.785,0.415,2.600159563,8.4,water
Northern Fur Seal,Tuk,M,61,9,5,1,MysticAquarium,5,61,1.8,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.785,0.255,1.798870915,2.2,air
Northern Fur Seal,Tuk,M,63,10,5,2,MysticAquarium,5,63,2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.799,0.301,1.99986187,2.2,air
Northern Fur Seal,Tuk,M,63,8,5,2,MysticAquarium,5,63,1.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.799,0.204,1.599558029,12.8,air
